,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
133,Mashrafe Mortaza,2,2,19.0,2,73,3,3/20,24.33,3.84,38.0,0,0,,Bangladesh,2015-02-01,2015-03-01
134,Rubel Hossain,2,2,15.0,0,89,2,1/27,44.5,5.93,45.0,0,0,,Bangladesh,2015-02-01,2015-03-01
135,Shakib Al Hasan,2,2,18.5,0,98,2,2/43,49.0,5.2,56.5,0,0,,Bangladesh,2015-02-01,2015-03-01
136,Mahmudullah,2,2,15.0,1,80,1,1/31,80.0,5.33,90.0,0,0,,Bangladesh,2015-02-01,2015-03-01
137,Taskin Ahmed,2,2,17.0,1,105,1,1/23,105.0,6.17,102.0,0,0,,Bangladesh,2015-02-01,2015-03-01
138,Sabbir Rahman,2,2,5.0,0,30,0,,,6.0,,0,0,,Bangladesh,2015-02-01,2015-03-01
139,Soumya Sarkar,2,1,3.0,0,13,0,,,4.33,,0,0,,Bangladesh,2015-02-01,2015-03-01
140,Anamul Haque,2,,,,,,,,,,,,,Bangladesh,2015-02-01,2015-03-01
141,Mominul Haque,2,,,,,,,,,,,,,Bangladesh,2015-02-01,2015-03-01
142,Mushfiqur Rahim,2,,,,,,,,,,,,,Bangladesh,2015-02-01,2015-03-01
143,Tamim Iqbal,2,,,,,,,,,,,,,Bangladesh,2015-02-01,2015-03-01
144,TG Southee,5,5,44.0,4,228,15,7/33,15.2,5.18,17.6,0,1,,New Zealand,2015-02-01,2015-03-01
145,TA Boult,5,5,44.1,6,179,11,5/27,16.27,4.05,24.0,0,1,,New Zealand,2015-02-01,2015-03-01
146,DL Vettori,5,5,45.2,1,159,9,3/24,17.66,3.5,30.2,0,0,,New Zealand,2015-02-01,2015-03-01
147,CJ Anderson,4,4,10.3,1,50,6,3/18,8.33,4.76,10.5,0,0,,New Zealand,2015-02-01,2015-03-01
148,AF Milne,5,5,33.2,1,171,5,2/52,34.2,5.13,40.0,0,0,,New Zealand,2015-02-01,2015-03-01
149,GD Elliott,5,3,8.0,0,57,2,2/35,28.5,7.12,24.0,0,0,,New Zealand,2015-02-01,2015-03-01
150,NL McCullum,1,1,5.0,0,33,2,2/33,16.5,6.6,15.0,0,0,,New Zealand,2015-02-01,2015-03-01
151,KS Williamson,5,1,1.0,0,7,0,,,7.0,,0,0,,New Zealand,2015-02-01,2015-03-01
152,MJ Guptill,5,,,,,,,,,,,,,New Zealand,2015-02-01,2015-03-01
153,BB McCullum,5,,,,,,,,,,,,,New Zealand,2015-02-01,2015-03-01
154,L Ronchi,5,,,,,,,,,,,,,New Zealand,2015-02-01,2015-03-01
155,LRPL Taylor,5,,,,,,,,,,,,,New Zealand,2015-02-01,2015-03-01
156,ST Finn,5,5,39.0,3,253,9,5/71,28.11,6.48,26.0,0,1,,England,2015-02-01,2015-03-01
157,SCJ Broad,5,5,39.2,2,239,5,3/55,47.8,6.07,47.2,0,0,,England,2015-02-01,2015-03-01
158,CR Woakes,5,5,37.4,1,259,5,2/8,51.8,6.87,45.2,0,0,,England,2015-02-01,2015-03-01
159,MM Ali,5,4,39.0,0,196,4,2/47,49.0,5.02,58.5,0,0,,England,2015-02-01,2015-03-01
160,JM Anderson,5,5,39.0,2,220,4,2/30,55.0,5.64,58.5,0,0,,England,2015-02-01,2015-03-01
161,JE Root,5,3,8.0,0,50,1,1/27,50.0,6.25,48.0,0,0,,England,2015-02-01,2015-03-01
162,GS Ballance,4,,,,,,,,,,,,,England,2015-02-01,2015-03-01
163,IR Bell,5,,,,,,,,,,,,,England,2015-02-01,2015-03-01
164,RS Bopara,1,,,,,,,,,,,,,England,2015-02-01,2015-03-01
165,JC Buttler,5,,,,,,,,,,,,,England,2015-02-01,2015-03-01
166,EJG Morgan,5,,,,,,,,,,,,,England,2015-02-01,2015-03-01
167,JWA Taylor,5,,,,,,,,,,,,,England,2015-02-01,2015-03-01
168,MA Starc,3,3,25.0,1,115,8,6/28,14.37,4.6,18.7,0,1,,Australia,2015-02-01,2015-03-01
169,MG Johnson,3,3,21.0,3,131,5,3/27,26.2,6.23,25.2,0,0,,Australia,2015-02-01,2015-03-01
170,MR Marsh,3,3,17.0,0,62,5,5/33,12.4,3.64,20.4,0,1,,Australia,2015-02-01,2015-03-01
171,GJ Maxwell,3,3,14.0,0,86,5,4/46,17.2,6.14,16.8,1,0,,Australia,2015-02-01,2015-03-01
172,PJ Cummins,1,1,6.1,0,38,2,2/38,19.0,6.16,18.5,0,0,,Australia,2015-02-01,2015-03-01
173,JR Hazlewood,2,2,13.0,2,58,2,2/13,29.0,4.46,39.0,0,0,,Australia,2015-02-01,2015-03-01
174,JP Faulkner,1,1,2.3,1,11,1,1/11,11.0,4.4,15.0,0,0,,Australia,2015-02-01,2015-03-01
175,AJ Finch,3,1,0.3,0,3,0,,,6.0,,0,0,,Australia,2015-02-01,2015-03-01
176,SPD Smith,3,1,2.0,0,19,0,,,9.5,,0,0,,Australia,2015-02-01,2015-03-01
177,SR Watson,2,1,3.0,0,13,0,,,4.33,,0,0,,Australia,2015-02-01,2015-03-01
