,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
4065,Taskin Ahmed,5,4,1,47,21,15.66,47,100.0,0,0,0,5,2,,Bangladesh,2023-03-01,2023-04-01
4066,Yasir Ali,2,2,0,24,17,12.0,17,141.17,0,0,0,2,1,,Bangladesh,2023-03-01,2023-04-01
4067,Mehidy Hasan Miraz,4,3,0,19,7,6.33,39,48.71,0,0,0,1,0,,Bangladesh,2023-03-01,2023-04-01
4068,Taijul Islam,3,3,0,13,10,4.33,30,43.33,0,0,0,1,0,,Bangladesh,2023-03-01,2023-04-01
4069,Nasum Ahmed,3,1,1,11,11,,7,157.14,0,0,0,2,0,,Bangladesh,2023-03-01,2023-04-01
4070,Ebadot Hossain,4,1,1,1,1,,3,33.33,0,0,0,0,0,,Bangladesh,2023-03-01,2023-04-01
4071,Mustafizur Rahman,4,4,3,1,1,1.0,6,16.66,0,0,1,0,0,,Bangladesh,2023-03-01,2023-04-01
4072,Hasan Mahmud,2,,,,,,,,,,,,,,Bangladesh,2023-03-01,2023-04-01
4073,WA Young,2,2,1,112,86,112.0,141,79.43,0,1,0,13,1,,New Zealand,2023-03-01,2023-04-01
4074,DJ Mitchell,2,2,0,53,47,26.5,66,80.3,0,0,0,4,2,,New Zealand,2023-03-01,2023-04-01
4075,FH Allen,1,1,0,51,51,51.0,49,104.08,0,1,0,5,2,,New Zealand,2023-03-01,2023-04-01
4076,R Ravindra,2,1,0,49,49,49.0,52,94.23,0,0,0,4,1,,New Zealand,2023-03-01,2023-04-01
4077,HM Nicholls,1,1,1,44,44,,52,84.61,0,0,0,5,0,,New Zealand,2023-03-01,2023-04-01
4078,GD Phillips,1,1,0,39,39,39.0,42,92.85,0,0,0,3,2,,New Zealand,2023-03-01,2023-04-01
4079,CJ Bowes,2,2,0,15,14,7.5,20,75.0,0,0,0,2,0,,New Zealand,2023-03-01,2023-04-01
4080,TWM Latham,2,2,0,13,8,6.5,33,39.39,0,0,0,0,0,,New Zealand,2023-03-01,2023-04-01
4081,IS Sodhi,2,1,0,10,10,10.0,18,55.55,0,0,0,0,0,,New Zealand,2023-03-01,2023-04-01
4082,HB Shipley,2,1,0,6,6,6.0,15,40.0,0,0,0,0,0,,New Zealand,2023-03-01,2023-04-01
4083,BM Tickner,2,1,1,6,6,,4,150.0,0,0,0,1,0,,New Zealand,2023-03-01,2023-04-01
4084,TA Blundell,1,1,0,4,4,4.0,3,133.33,0,0,0,1,0,,New Zealand,2023-03-01,2023-04-01
4085,MJ Henry,2,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,New Zealand,2023-03-01,2023-04-01
4086,JJ Roy,3,3,0,155,132,51.66,163,95.09,1,0,0,22,1,,England,2023-03-01,2023-04-01
4087,DJ Malan,3,3,1,125,114,62.5,166,75.3,1,0,1,8,4,,England,2023-03-01,2023-04-01
4088,JC Buttler,3,3,0,111,76,37.0,98,113.26,0,1,0,6,2,,England,2023-03-01,2023-04-01
4089,MM Ali,3,3,0,58,42,19.33,72,80.55,0,0,0,4,2,,England,2023-03-01,2023-04-01
4090,SM Curran,2,2,1,56,33,56.0,68,82.35,0,0,0,3,4,,England,2023-03-01,2023-04-01
4091,PD Salt,3,3,0,54,35,18.0,59,91.52,0,0,0,9,0,,England,2023-03-01,2023-04-01
4092,JM Vince,3,3,0,49,38,16.33,69,71.01,0,0,0,4,1,,England,2023-03-01,2023-04-01
4093,CR Woakes,2,2,0,41,34,20.5,57,71.92,0,0,0,3,0,,England,2023-03-01,2023-04-01
4094,AU Rashid,3,3,2,31,17,31.0,48,64.58,0,0,0,2,0,,England,2023-03-01,2023-04-01
4095,WG Jacks,2,2,0,27,26,13.5,35,77.14,0,0,0,3,1,,England,2023-03-01,2023-04-01
4096,JC Archer,2,1,1,5,5,,10,50.0,0,0,0,1,0,,England,2023-03-01,2023-04-01
4097,Rehan Ahmed,1,1,0,2,2,2.0,7,28.57,0,0,0,0,0,,England,2023-03-01,2023-04-01
4098,S Mahmood,1,,,,,,,,,,,,,,England,2023-03-01,2023-04-01
4099,MA Wood,2,,,,,,,,,,,,,,England,2023-03-01,2023-04-01
4100,MR Marsh,3,3,1,194,81,97.0,148,131.08,0,2,0,24,12,,Australia,2023-03-01,2023-04-01
4101,TM Head,3,3,1,89,51,44.5,71,125.35,0,1,0,15,2,,Australia,2023-03-01,2023-04-01
4102,M Labuschagne,3,2,0,43,28,21.5,67,64.17,0,0,0,2,1,,Australia,2023-03-01,2023-04-01
4103,AT Carey,2,1,0,38,38,38.0,46,82.6,0,0,0,2,1,,Australia,2023-03-01,2023-04-01
4104,MP Stoinis,3,2,0,30,25,15.0,34,88.23,0,0,0,4,0,,Australia,2023-03-01,2023-04-01
4105,SA Abbott,3,2,0,26,26,13.0,30,86.66,0,0,1,2,1,,Australia,2023-03-01,2023-04-01
4106,JP Inglis,1,1,0,26,26,26.0,27,96.29,0,0,0,1,1,,Australia,2023-03-01,2023-04-01
4107,DA Warner,1,1,0,23,23,23.0,31,74.19,0,0,0,1,0,,Australia,2023-03-01,2023-04-01
4108,SPD Smith,3,2,0,22,22,11.0,33,66.66,0,0,1,4,0,,Australia,2023-03-01,2023-04-01
4109,AC Agar,1,1,0,17,17,17.0,21,80.95,0,0,0,0,1,,Australia,2023-03-01,2023-04-01
4110,MA Starc,3,2,1,14,10,14.0,21,66.66,0,0,0,1,1,,Australia,2023-03-01,2023-04-01
4111,C Green,2,1,0,12,12,12.0,19,63.15,0,0,0,0,0,,Australia,2023-03-01,2023-04-01
4112,A Zampa,3,2,1,10,10,10.0,17,58.82,0,0,1,1,0,,Australia,2023-03-01,2023-04-01
4113,GJ Maxwell,1,1,0,8,8,8.0,10,80.0,0,0,0,1,0,,Australia,2023-03-01,2023-04-01
4114,NT Ellis,1,,,,,,,,,,,,,,Australia,2023-03-01,2023-04-01
4115,T Bavuma,2,2,1,234,144,234.0,197,118.78,1,1,0,19,8,,South Africa,2023-03-01,2023-04-01
4116,H Klaasen,2,1,1,119,119,,61,195.08,1,0,0,15,5,,South Africa,2023-03-01,2023-04-01
4117,AK Markram,2,2,1,76,51,76.0,65,116.92,0,1,0,10,2,,South Africa,2023-03-01,2023-04-01
4118,M Jansen,3,2,0,60,43,30.0,47,127.65,0,0,0,8,2,,South Africa,2023-03-01,2023-04-01
4119,Q de Kock,2,2,0,57,48,28.5,47,121.27,0,0,0,7,3,,South Africa,2023-03-01,2023-04-01
4120,HE van der Dussen,3,3,0,53,31,17.66,60,88.33,0,0,0,10,0,,South Africa,2023-03-01,2023-04-01
4121,T de Zorzi,2,2,0,48,27,24.0,48,100.0,0,0,0,7,0,,South Africa,2023-03-01,2023-04-01
4122,DA Miller,2,1,0,17,17,17.0,17,100.0,0,0,0,0,2,,South Africa,2023-03-01,2023-04-01
4123,RD Rickelton,2,2,0,17,14,8.5,26,65.38,0,0,0,0,1,,South Africa,2023-03-01,2023-04-01
4124,L Ngidi,2,1,1,12,12,,23,52.17,0,0,0,0,1,,South Africa,2023-03-01,2023-04-01
4125,T Stubbs,1,1,0,6,6,6.0,10,60.0,0,0,0,0,0,,South Africa,2023-03-01,2023-04-01
4126,WD Parnell,1,1,1,4,4,,4,100.0,0,0,0,1,0,,South Africa,2023-03-01,2023-04-01
4127,G Coetzee,2,1,0,1,1,1.0,3,33.33,0,0,0,0,0,,South Africa,2023-03-01,2023-04-01
4128,BC Fortuin,2,1,0,1,1,1.0,2,50.0,0,0,0,0,0,,South Africa,2023-03-01,2023-04-01
4129,T Shamsi,2,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,South Africa,2023-03-01,2023-04-01
4130,SSB Magala,1,,,,,,,,,,,,,,South Africa,2023-03-01,2023-04-01
4131,A Nortje,1,,,,,,,,,,,,,,South Africa,2023-03-01,2023-04-01
4132,K Rabada,1,,,,,,,,,,,,,,South Africa,2023-03-01,2023-04-01
4133,Fakhar Zaman,2,2,1,297,180,297.0,258,115.11,2,0,0,30,7,,Pakistan,2023-04-01,2023-05-01
4134,Babar Azam,2,2,0,114,65,57.0,112,101.78,0,1,0,8,2,,Pakistan,2023-04-01,2023-05-01
4135,Mohammad Rizwan,2,2,2,96,54,,75,128.0,0,1,0,12,1,,Pakistan,2023-04-01,2023-05-01
4136,Imam-ul-Haq,2,2,0,84,60,42.0,91,92.3,0,1,0,8,1,,Pakistan,2023-04-01,2023-05-01
4137,Mohammad Nawaz (3),2,1,1,8,8,,10,80.0,0,0,0,1,0,,Pakistan,2023-04-01,2023-05-01
4138,Abdullah Shafique,1,1,0,7,7,7.0,14,50.0,0,0,0,0,0,,Pakistan,2023-04-01,2023-05-01
4139,Agha Salman,2,1,0,7,7,7.0,10,70.0,0,0,0,1,0,,Pakistan,2023-04-01,2023-05-01
4140,Shan Masood,1,1,0,1,1,1.0,12,8.33,0,0,0,0,0,,Pakistan,2023-04-01,2023-05-01
4141,Haris Rauf,2,,,,,,,,,,,,,,Pakistan,2023-04-01,2023-05-01
4142,Ihsanullah,1,,,,,,,,,,,,,,Pakistan,2023-04-01,2023-05-01
4143,Naseem Shah,2,,,,,,,,,,,,,,Pakistan,2023-04-01,2023-05-01
4144,Shadab Khan,1,,,,,,,,,,,,,,Pakistan,2023-04-01,2023-05-01
4145,Shaheen Shah Afridi,1,,,,,,,,,,,,,,Pakistan,2023-04-01,2023-05-01
4146,Usama Mir,1,,,,,,,,,,,,,,Pakistan,2023-04-01,2023-05-01
4147,DJ Mitchell,2,2,0,242,129,121.0,234,103.41,2,0,0,19,4,,New Zealand,2023-04-01,2023-05-01
4148,TWM Latham,2,2,0,118,98,59.0,121,97.52,0,1,0,8,1,,New Zealand,2023-04-01,2023-05-01
4149,WA Young,2,2,0,105,86,52.5,100,105.0,0,1,0,12,2,,New Zealand,2023-04-01,2023-05-01
4150,CJ Bowes,2,2,0,69,51,34.5,77,89.61,0,1,0,10,0,,New Zealand,2023-04-01,2023-05-01
4151,HM Nicholls,2,2,2,26,20,,26,100.0,0,0,0,1,0,,New Zealand,2023-04-01,2023-05-01
4152,JDS Neesham,1,1,1,17,17,,15,113.33,0,0,0,1,0,,New Zealand,2023-04-01,2023-05-01
4153,MS Chapman,2,2,0,16,15,8.0,17,94.11,0,0,0,2,0,,New Zealand,2023-04-01,2023-05-01
4154,R Ravindra,2,1,0,9,9,9.0,9,100.0,0,0,0,0,0,,New Zealand,2023-04-01,2023-05-01
4155,AF Milne,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,New Zealand,2023-04-01,2023-05-01
4156,MJ Henry,2,,,,,,,,,,,,,,New Zealand,2023-04-01,2023-05-01
4157,HB Shipley,1,,,,,,,,,,,,,,New Zealand,2023-04-01,2023-05-01
4158,IS Sodhi,2,,,,,,,,,,,,,,New Zealand,2023-04-01,2023-05-01
4159,BM Tickner,1,,,,,,,,,,,,,,New Zealand,2023-04-01,2023-05-01
4160,AK Markram,1,1,0,175,175,175.0,126,138.88,1,0,0,17,7,,South Africa,2023-04-01,2023-05-01
4161,DA Miller,1,1,0,91,91,91.0,61,149.18,0,1,0,6,4,,South Africa,2023-04-01,2023-05-01
4162,H Klaasen,1,1,0,28,28,28.0,21,133.33,0,0,0,4,0,,South Africa,2023-04-01,2023-05-01
4163,HE van der Dussen,1,1,0,25,25,25.0,40,62.5,0,0,0,2,0,,South Africa,2023-04-01,2023-05-01
4164,M Jansen,1,1,1,11,11,,13,84.61,0,0,0,0,0,,South Africa,2023-04-01,2023-05-01
4165,Q de Kock,1,1,0,8,8,8.0,19,42.1,0,0,0,1,0,,South Africa,2023-04-01,2023-05-01
4166,T Bavuma,1,1,0,6,6,6.0,12,50.0,0,0,0,1,0,,South Africa,2023-04-01,2023-05-01
4167,SSB Magala,1,1,0,5,5,5.0,5,100.0,0,0,0,1,0,,South Africa,2023-04-01,2023-05-01
4168,A Nortje,1,1,0,5,5,5.0,6,83.33,0,0,0,1,0,,South Africa,2023-04-01,2023-05-01
4169,L Ngidi,1,1,1,1,1,,2,50.0,0,0,0,0,0,,South Africa,2023-04-01,2023-05-01
4170,T Shamsi,1,,,,,,,,,,,,,,South Africa,2023-04-01,2023-05-01
4171,Babar Azam,3,3,0,162,107,54.0,184,88.04,1,1,0,13,1,,Pakistan,2023-05-01,2023-06-01
4172,Agha Salman,3,3,0,146,58,48.66,132,110.6,0,2,0,13,3,,Pakistan,2023-05-01,2023-06-01
4173,Iftikhar Ahmed,2,2,1,122,94,122.0,94,129.78,0,1,0,13,2,,Pakistan,2023-05-01,2023-06-01
4174,Imam-ul-Haq,1,1,0,90,90,90.0,107,84.11,0,1,0,7,1,,Pakistan,2023-05-01,2023-06-01
4175,Fakhar Zaman,3,3,0,66,33,22.0,107,61.68,0,0,0,11,0,,Pakistan,2023-05-01,2023-06-01
4176,Mohammad Rizwan,3,3,0,65,32,21.66,77,84.41,0,0,0,2,1,,Pakistan,2023-05-01,2023-06-01
4177,Shan Masood,2,2,0,51,44,25.5,75,68.0,0,0,0,7,0,,Pakistan,2023-05-01,2023-06-01
4178,Shadab Khan,2,2,1,35,21,35.0,24,145.83,0,0,0,2,2,,Pakistan,2023-05-01,2023-06-01
4179,Shaheen Shah Afridi,3,2,1,23,23,23.0,9,255.55,0,0,1,1,3,,Pakistan,2023-05-01,2023-06-01
4180,Usama Mir,2,1,0,20,20,20.0,15,133.33,0,0,0,1,1,,Pakistan,2023-05-01,2023-06-01
4181,Abdullah Shafique,1,1,0,19,19,19.0,23,82.6,0,0,0,0,1,,Pakistan,2023-05-01,2023-06-01
4182,Mohammad Haris,1,1,1,17,17,,8,212.5,0,0,0,1,1,,Pakistan,2023-05-01,2023-06-01
4183,Mohammad Nawaz (3),1,1,1,11,11,,9,122.22,0,0,0,1,0,,Pakistan,2023-05-01,2023-06-01
4184,Mohammad Wasim (1),3,1,0,6,6,6.0,4,150.0,0,0,0,0,1,,Pakistan,2023-05-01,2023-06-01
4185,Haris Rauf,2,1,0,1,1,1.0,9,11.11,0,0,0,0,0,,Pakistan,2023-05-01,2023-06-01
4186,Naseem Shah,1,,,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
4187,Najmul Hossain Shanto,3,3,0,196,117,65.33,191,102.61,1,0,0,26,3,,Bangladesh,2023-05-01,2023-06-01
4188,Mushfiqur Rahim,3,3,1,142,61,71.0,152,93.42,0,1,0,13,1,,Bangladesh,2023-05-01,2023-06-01
4189,Towhid Hridoy,3,3,0,108,68,36.0,105,102.85,0,1,0,8,3,,Bangladesh,2023-05-01,2023-06-01
4190,Tamim Iqbal,3,3,0,90,69,30.0,114,78.94,0,1,0,8,0,,Bangladesh,2023-05-01,2023-06-01
4191,Mehidy Hasan Miraz,3,3,0,83,37,27.66,85,97.64,0,0,0,10,0,,Bangladesh,2023-05-01,2023-06-01
4192,Litton Das,3,3,0,56,35,18.66,61,91.8,0,0,1,5,2,,Bangladesh,2023-05-01,2023-06-01
4193,Shakib Al Hasan,2,2,0,46,26,23.0,48,95.83,0,0,0,9,0,,Bangladesh,2023-05-01,2023-06-01
4194,Taijul Islam,2,2,0,23,14,11.5,49,46.93,0,0,0,1,0,,Bangladesh,2023-05-01,2023-06-01
4195,Shoriful Islam,2,2,1,20,16,20.0,18,111.11,0,0,0,1,1,,Bangladesh,2023-05-01,2023-06-01
4196,Mrittunjoy Chowdhury,1,1,0,8,8,8.0,11,72.72,0,0,0,0,0,,Bangladesh,2023-05-01,2023-06-01
4197,Hasan Mahmud,3,2,1,5,4,5.0,7,71.42,0,0,0,0,0,,Bangladesh,2023-05-01,2023-06-01
4198,Rony Talukdar,1,1,0,4,4,4.0,14,28.57,0,0,0,1,0,,Bangladesh,2023-05-01,2023-06-01
4199,Ebadot Hossain,3,2,2,2,1,,5,40.0,0,0,0,0,0,,Bangladesh,2023-05-01,2023-06-01
4200,Mustafizur Rahman,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,Bangladesh,2023-05-01,2023-06-01
4201,TWM Latham,3,3,0,164,60,54.66,194,84.53,0,2,0,13,0,,New Zealand,2023-05-01,2023-06-01
4202,WA Young,3,3,0,135,87,45.0,152,88.81,0,1,0,14,2,,New Zealand,2023-05-01,2023-06-01
4203,TA Blundell,3,3,0,103,65,34.33,129,79.84,0,1,0,13,0,,New Zealand,2023-05-01,2023-06-01
4204,MS Chapman,3,3,0,102,46,34.0,87,117.24,0,0,0,9,5,,New Zealand,2023-05-01,2023-06-01
4205,CE McConchie,3,3,1,98,64,49.0,84,116.66,0,1,0,8,3,,New Zealand,2023-05-01,2023-06-01
4206,DJ Mitchell,2,2,0,55,34,27.5,72,76.38,0,0,0,3,0,,New Zealand,2023-05-01,2023-06-01
4207,R Ravindra,1,1,0,28,28,28.0,20,140.0,0,0,0,4,0,,New Zealand,2023-05-01,2023-06-01
4208,HM Nicholls,2,2,0,24,23,12.0,35,68.57,0,0,0,2,0,,New Zealand,2023-05-01,2023-06-01
4209,IS Sodhi,3,3,0,12,9,4.0,19,63.15,0,0,0,1,0,,New Zealand,2023-05-01,2023-06-01
4210,JDS Neesham,1,1,0,11,11,11.0,10,110.0,0,0,0,1,0,,New Zealand,2023-05-01,2023-06-01
4211,MJ Henry,3,3,1,10,5,5.0,9,111.11,0,0,0,1,0,,New Zealand,2023-05-01,2023-06-01
4212,HB Shipley,2,2,0,10,7,5.0,13,76.92,0,0,0,0,0,,New Zealand,2023-05-01,2023-06-01
4213,AF Milne,2,2,0,7,4,3.5,18,38.88,0,0,0,0,0,,New Zealand,2023-05-01,2023-06-01
4214,BM Tickner,1,1,0,6,6,6.0,11,54.54,0,0,0,0,0,,New Zealand,2023-05-01,2023-06-01
4215,BG Lister,1,1,1,1,1,,3,33.33,0,0,0,0,0,,New Zealand,2023-05-01,2023-06-01
4216,Ibrahim Zadran,3,3,0,174,98,58.0,194,89.69,0,2,0,17,4,,Afghanistan,2023-06-01,2023-07-01
4217,Hashmatullah Shahidi,3,3,0,99,57,33.0,112,88.39,0,1,0,11,0,,Afghanistan,2023-06-01,2023-07-01
4218,Rahmat Shah,3,3,0,98,55,32.66,133,73.68,0,1,0,7,0,,Afghanistan,2023-06-01,2023-07-01
4219,Mohammad Nabi,3,3,1,52,27,26.0,56,92.85,0,0,0,6,0,,Afghanistan,2023-06-01,2023-07-01
4220,Azmatullah Omarzai,2,1,0,28,28,28.0,31,90.32,0,0,0,4,1,,Afghanistan,2023-06-01,2023-07-01
4221,Rahmanullah Gurbaz,3,3,0,24,14,8.0,45,53.33,0,0,0,4,0,,Afghanistan,2023-06-01,2023-07-01
4222,Gulbadin Naib,1,1,0,20,20,20.0,21,95.23,0,0,0,4,0,,Afghanistan,2023-06-01,2023-07-01
4223,Najibullah Zadran,3,3,1,19,10,9.5,27,70.37,0,0,0,3,0,,Afghanistan,2023-06-01,2023-07-01
4224,Fareed Ahmad,3,2,1,13,13,13.0,12,108.33,0,0,1,0,1,,Afghanistan,2023-06-01,2023-07-01
4225,Fazalhaq Farooqi,3,2,1,4,4,4.0,19,21.05,0,0,0,1,0,,Afghanistan,2023-06-01,2023-07-01
4226,Noor Ahmad,2,1,0,3,3,3.0,7,42.85,0,0,0,0,0,,Afghanistan,2023-06-01,2023-07-01
4227,Rashid Khan,1,1,0,2,2,2.0,8,25.0,0,0,0,0,0,,Afghanistan,2023-06-01,2023-07-01
4228,Mujeeb Ur Rahman,3,2,0,0,0,0.0,6,0.0,0,0,2,0,0,,Afghanistan,2023-06-01,2023-07-01
4229,Ishan Kishan,3,3,0,184,77,61.33,165,111.51,0,3,0,21,5,,India,2023-07-01,2023-08-01
4230,Shubman Gill,3,3,0,126,85,42.0,157,80.25,0,1,0,17,0,,India,2023-07-01,2023-08-01
4231,HH Pandya,3,3,1,82,70,41.0,73,112.32,0,1,0,4,5,,India,2023-07-01,2023-08-01
4232,SA Yadav,3,3,0,78,35,26.0,80,97.5,0,0,0,8,3,,India,2023-07-01,2023-08-01
4233,SV Samson,2,2,0,60,51,30.0,60,100.0,0,1,0,2,4,,India,2023-07-01,2023-08-01
4234,RA Jadeja,3,3,2,34,16,34.0,49,69.38,0,0,0,1,0,,India,2023-07-01,2023-08-01
4235,SN Thakur,3,2,0,17,16,8.5,26,65.38,0,0,0,2,0,,India,2023-07-01,2023-08-01
4236,RG Sharma,1,1,1,12,12,,19,63.15,0,0,0,2,0,,India,2023-07-01,2023-08-01
4237,RD Gaikwad,1,1,0,8,8,8.0,14,57.14,0,0,0,1,0,,India,2023-07-01,2023-08-01
4238,Kuldeep Yadav,3,1,1,8,8,,23,34.78,0,0,0,1,0,,India,2023-07-01,2023-08-01
4239,Mukesh Kumar,3,1,0,6,6,6.0,7,85.71,0,0,0,1,0,,India,2023-07-01,2023-08-01
4240,AR Patel,1,1,0,1,1,1.0,8,12.5,0,0,0,0,0,,India,2023-07-01,2023-08-01
4241,Umran Malik,2,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,India,2023-07-01,2023-08-01
4242,V Kohli,1,,,,,,,,,,,,,,India,2023-07-01,2023-08-01
4243,JD Unadkat,1,,,,,,,,,,,,,,India,2023-07-01,2023-08-01
4244,Litton Das,3,3,1,92,53,46.0,110,83.63,0,1,0,8,3,,Bangladesh,2023-07-01,2023-08-01
4245,Towhid Hridoy,3,3,1,89,51,44.5,122,72.95,0,1,0,6,0,,Bangladesh,2023-07-01,2023-08-01
4246,Shakib Al Hasan,3,3,0,79,39,26.33,106,74.52,0,0,0,8,0,,Bangladesh,2023-07-01,2023-08-01
4247,Mushfiqur Rahim,3,2,0,70,69,35.0,88,79.54,0,1,0,6,0,,Bangladesh,2023-07-01,2023-08-01
4248,Mehidy Hasan Miraz,3,2,0,30,25,15.0,71,42.25,0,0,0,2,0,,Bangladesh,2023-07-01,2023-08-01
4249,Najmul Hossain Shanto,3,3,0,24,12,8.0,36,66.66,0,0,0,4,0,,Bangladesh,2023-07-01,2023-08-01
4250,Tamim Iqbal,1,1,0,13,13,13.0,21,61.9,0,0,0,2,0,,Bangladesh,2023-07-01,2023-08-01
4251,Hasan Mahmud,2,2,1,12,8,12.0,29,41.37,0,0,0,2,0,,Bangladesh,2023-07-01,2023-08-01
4252,Mustafizur Rahman,2,2,2,10,7,,21,47.61,0,0,0,1,0,,Bangladesh,2023-07-01,2023-08-01
4253,Mohammad Naim,2,2,0,9,9,4.5,29,31.03,0,0,1,0,0,,Bangladesh,2023-07-01,2023-08-01
4254,Taskin Ahmed,2,1,0,7,7,7.0,19,36.84,0,0,0,0,0,,Bangladesh,2023-07-01,2023-08-01
4255,Afif Hossain,3,2,0,4,4,2.0,9,44.44,0,0,1,0,0,,Bangladesh,2023-07-01,2023-08-01
4256,Ebadot Hossain,1,,,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
4257,Shoriful Islam,1,,,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
4258,Taijul Islam,1,,,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
4259,Rahmanullah Gurbaz,3,3,0,173,145,57.66,192,90.1,1,0,0,15,8,,Afghanistan,2023-07-01,2023-08-01
4260,Ibrahim Zadran,3,3,1,142,100,71.0,183,77.59,1,0,0,14,1,,Afghanistan,2023-07-01,2023-08-01
4261,Azmatullah Omarzai,3,2,0,58,56,29.0,78,74.35,0,1,0,1,3,,Afghanistan,2023-07-01,2023-08-01
4262,Hashmatullah Shahidi,3,3,1,33,22,16.5,74,44.59,0,0,0,5,0,,Afghanistan,2023-07-01,2023-08-01
4263,Mohammad Nabi,3,2,1,26,25,26.0,24,108.33,0,0,0,1,1,,Afghanistan,2023-07-01,2023-08-01
4264,Najibullah Zadran,3,2,0,20,10,10.0,37,54.05,0,0,0,2,0,,Afghanistan,2023-07-01,2023-08-01
4265,Mujeeb Ur Rahman,3,2,0,16,11,8.0,37,43.24,0,0,0,3,0,,Afghanistan,2023-07-01,2023-08-01
4266,Rahmat Shah,3,3,0,10,8,3.33,23,43.47,0,0,1,1,0,,Afghanistan,2023-07-01,2023-08-01
4267,Rashid Khan,2,1,0,6,6,6.0,6,100.0,0,0,0,1,0,,Afghanistan,2023-07-01,2023-08-01
4268,Zia-ur-Rehman,1,1,0,5,5,5.0,30,16.66,0,0,0,1,0,,Afghanistan,2023-07-01,2023-08-01
4269,Abdul Rahman,1,1,0,4,4,4.0,20,20.0,0,0,0,0,0,,Afghanistan,2023-07-01,2023-08-01
4270,Fazalhaq Farooqi,3,2,1,1,1,1.0,2,50.0,0,0,0,0,0,,Afghanistan,2023-07-01,2023-08-01
4271,Mohammad Saleem,2,,,,,,,,,,,,,,Afghanistan,2023-07-01,2023-08-01
4272,Shubman Gill,1,1,0,85,85,85.0,92,92.39,0,1,0,11,0,,India,2023-08-01,2023-09-01
4273,Ishan Kishan,1,1,0,77,77,77.0,64,120.31,0,1,0,8,3,,India,2023-08-01,2023-09-01
4274,HH Pandya,1,1,1,70,70,,52,134.61,0,1,0,4,5,,India,2023-08-01,2023-09-01
4275,SV Samson,1,1,0,51,51,51.0,41,124.39,0,1,0,2,4,,India,2023-08-01,2023-09-01
4276,SA Yadav,1,1,0,35,35,35.0,30,116.66,0,0,0,2,2,,India,2023-08-01,2023-09-01
4277,RD Gaikwad,1,1,0,8,8,8.0,14,57.14,0,0,0,1,0,,India,2023-08-01,2023-09-01
4278,RA Jadeja,1,1,1,8,8,,7,114.28,0,0,0,0,0,,India,2023-08-01,2023-09-01
4279,Kuldeep Yadav,1,,,,,,,,,,,,,,India,2023-08-01,2023-09-01
4280,Mukesh Kumar,1,,,,,,,,,,,,,,India,2023-08-01,2023-09-01
4281,SN Thakur,1,,,,,,,,,,,,,,India,2023-08-01,2023-09-01
4282,JD Unadkat,1,,,,,,,,,,,,,,India,2023-08-01,2023-09-01
4283,Babar Azam,4,4,0,264,151,66.0,286,92.3,1,2,1,24,5,,Pakistan,2023-08-01,2023-09-01
4284,Imam-ul-Haq,4,4,0,170,91,42.5,243,69.95,0,2,0,8,0,,Pakistan,2023-08-01,2023-09-01
4285,Iftikhar Ahmed,3,3,1,156,109,78.0,136,114.7,1,0,0,14,4,,Pakistan,2023-08-01,2023-09-01
4286,Mohammad Rizwan,4,4,0,134,67,33.5,158,84.81,0,1,0,16,1,,Pakistan,2023-08-01,2023-09-01
4287,Shadab Khan,4,4,0,94,48,23.5,95,98.94,0,0,0,7,1,,Pakistan,2023-08-01,2023-09-01
4288,Fakhar Zaman,4,4,0,73,30,18.25,91,80.21,0,0,0,13,0,,Pakistan,2023-08-01,2023-09-01
4289,Agha Salman,4,4,1,64,38,21.33,89,71.91,0,0,0,6,1,,Pakistan,2023-08-01,2023-09-01
4290,Mohammad Nawaz (3),2,1,0,30,30,30.0,25,120.0,0,0,0,2,1,,Pakistan,2023-08-01,2023-09-01
4291,Naseem Shah,3,2,2,28,18,,32,87.5,0,0,0,4,0,,Pakistan,2023-08-01,2023-09-01
4292,Saud Shakeel,1,1,0,9,9,9.0,6,150.0,0,0,0,2,0,,Pakistan,2023-08-01,2023-09-01
4293,Shaheen Shah Afridi,4,3,1,8,4,4.0,14,57.14,0,0,0,0,0,,Pakistan,2023-08-01,2023-09-01
4294,Haris Rauf,3,2,1,4,3,4.0,3,133.33,0,0,0,0,0,,Pakistan,2023-08-01,2023-09-01
4295,Faheem Ashraf,1,1,0,2,2,2.0,2,100.0,0,0,0,0,0,,Pakistan,2023-08-01,2023-09-01
4296,Usama Mir,2,2,0,2,2,1.0,5,40.0,0,0,1,0,0,,Pakistan,2023-08-01,2023-09-01
4297,Mohammad Wasim (1),1,,,,,,,,,,,,,,Pakistan,2023-08-01,2023-09-01
4298,Najmul Hossain Shanto,1,1,0,89,89,89.0,122,72.95,0,1,0,7,0,,Bangladesh,2023-08-01,2023-09-01
